ID	Label	Text
487	3	U.S. Claims Immigrants Held at Guantanamo Are “Worst of the Worst.” Their Families Say They’re Being Unfairly Targeted: The military planes departed from Texas in quick succession, eight flights in as many days. Each one carried more than a dozen immigrants that the U.S. alleged are the “worst of the worst” kinds of criminals, including members of a violent Venezuelan street gang. Since Feb. 4, the Trump administration has flown about 100 immigrant detainees to the U.S. naval base in Guantanamo Bay, Cuba, a facility better known for having held those suspected of plotting the 9/11 terrorist attacks.
78	9	Migrants in Italy 'targeted' in drive-by shooting (VIDEO): A number of foreign nationals have been targeted in a drive-by shooting in the Italian city of Macerata, with police suggesting the attack may be racially motivated. Several people were left injured following a shooting spree on Via dei Velini and Via Spalato, reported La Repubblica. One man has now been arrested in connection with the Saturday morning attack, according to police. Italian police have confirmed that all the victims are of foreign descent, following suggestions in the Italian press that the shootings were racially motivated, with at least four of the victims said to be African migrants. #Macerata i feriti accertati sono di nazionalità straniera. Subito soccorsi sono ora in ospedale pic. twitter. com/T9Afnp1aWo — Polizia di Stato (@poliziadistato) February 3, 2018 Corriere is reporting that one police line of inquiry is that it could be a revenge attack for the death of Pamela Mastropietro. The 18-year-old’s dismembered body was recently found in two suitcases on the outskirts of the city. A 29-year-old man from Nigeria has been charged with her murder, reported ANSA news. Earlier, Macerata Mayor Romano Carancini announced a shut down of schools and offices while the armed assailant remained at large.
421	9	Libya: Repatriation of Migrants in Libyan Detention Centers Begins: The International Organization for Migration has begun the voluntary repatriation of thousands of West African migrants being held in detention centers in Libya under abusive conditions. IOM plans to repatriate a total of 15,000 African migrants by the end of the year. Most come from Nigeria, Guinea, Mali and Senegal. The government of Niger has agreed to act as a country of transit for the migrants. Those who arrive at the airport in Niamey are registered by the International Organization for Migration and transported to their homes of origin. An IOM charter flight carrying 504 Nigerians, including women and young children, arrived in Niamey on Thursday. IOM plans seven additional daily charter flights from Tripoli, each carrying about 500 Nigerian migrants. The organization says another chartered flight arrived in Guinea's capital on Thursday, carrying 167 of the country's nationals. Returning in great distress Agency spokesman Leonard Doyle says people are returning home in great distress after having endured months of torture, overcrowding and other forms of ill-treatment in the Libyan detention centers. Doyle tells VOA it is very difficult to stop African migrants from trying to reach Europe. He criticizes Facebook and other social media for allowing criminals to spread lies and entice young people to make this sometimes-fatal journey.
226	7	Dog Whisperer' Cesar Millan illegally crossed US border: Getty Images Cesar Millan discussed his experience coming to America with his longtime friend Jada Pinkett Smith on her Facebook show Red Table Talk. The dog whisperer shared his story of crossing the border when he was 13. He dreamed of being "greatest dog trainer in the world" and of being on TV. His father gave him $100 and it was all he had to get across the border. "Death is more likely than jumping it," Millan said of crossing the border. "It's not a piece of cake. I'm respectful about it. I know I broke a boundary and a rule. But it was for a dream. " Millan first met Pinkett Smith when she was just 19-years-old. She told him he needed to learn to speak English if he wanted to be on TV. He credits her with encouraging him to learn English and sending a tutor to his house to teach him the language. Advertisement The dog whisperer started his career cleaning kennels. "Those are the jobs we immigrants get," he said. He quickly developed a dog-walking business in the Los Angeles neighborhood of Inglewood. The Los Angeles Times wrote about Millan's business and helped it really take off.
350	8	Illegal immigrants urged to leave Saudi Arabia before June 25: According to the Ghana Embassy in Riyadh, it has come to the notice of officials of the Embassy that many Ghanaians illegally resident in Saudi Arabia were not heeding to the call to take advantage of the Amnesty granted by the Saudi government to leave without penalty. Ghanaian illegal immigrants living and working in the Kingdom of Saudi Arabia have been advised to take advantage of the 90 days general amnesty put forward by the Saudi government and leave the country before it expires on June 25, 2017. A statement issued and signed by Marcel Domayele, the Acting Head of Mission said Ghanaians who fail to take advantage of the Amnesty could be arrested, detained and fined for non- compliance with the country’s laws. It said the Embassy was still processing Emergency Travel Certificates and therefore urged Ghanaian residents to take advantaged. The statement said the Embassy had gathered that, “False rumours by some died hard illegal Ghanaians and their cohorts are doing the rounds that the amnesty directive by the governmentof Saudi Arabia is fake.” “Subsequently, such illegal Ghanaian illegal immigrants are digging in their heels to continue to stay in Saudi Arabia at all cost only to soon turn into consular nightmare for the Embassy.” “Indeed, they are on record as stated that unless and until they see the faces of Embassy officials in WhatsApp videos circulating and urging them to leave under the amnesty, they will never believe it, let alone appear for Emergency Travel Certificates.
407	7	Syrian asylum seeker planned ISIS attack, German prosecutors say: A Syrian man has been arrested in Germany on suspicion of seeking 180,000 euros ($190,000) from the Islamic State group (ISIS) to buy vehicles that he intended to use for one or several bomb attacks, authorities said Monday. The 38-year-old, who came to Germany in late 2014 as an asylum-seeker, was arrested on Saturday in Saarbruecken, close to the French border. He is accused of collecting money to be used by him or someone else to carry out murder. Prosecutors accuse him of contacting someone in Syria “who he knew was in a position to obtain ISIS money for terror financing” last month via the Telegram encrypted communication service. The suspect allegedly asked for 180,000 euros so that he could buy and repaint vehicles that he intended to fit out with explosives before driving them into crowds. The case against him was bolstered by an informant who went to Germany’s Federal Criminal Police Office, chats on the suspect’s smartphone and his own statements, “insofar as they can be followed,” prosecutors said in a statement. The Syrian is alleged to have told the financier that each vehicle would cost 22,500 euros ($23,500), and that 400 to 500 kilograms (882 to 1,100 pounds) of explosives would be placed in each car, they added.
323	8	Plan to triage asylum seekers stalled by Ontario provincial election: Teresa Wright, The Canadian Press OTTAWA -- A plan to "triage" asylum seekers crossing the Canada-U. S. border illegally, in an effort to move some migrants out of Quebec and into Ontario, has stalled because Ontario is in the midst of a provincial election. Federal Transport Minister Marc Garneau says Ontario civil servants have been working on details of the plan with the federal government and Quebec, but nothing can be finalized until a new provincial government is in place. "There's a lot of very hard work being done by civil servants who work for Immigration Ontario to look at the whole issue of the triage, which is more than just a reception centre. It's the whole process of absorbing people who want to go to Ontario. And that entails resources -- financial resources, and other kinds of resources, manpower resources," Garneau told reporters Wednesday. "There is an election going on and, when it's all in place, there will be a requirement to get the new government of Ontario, whatever that government is, to sign onto that. " The ad hoc intergovernmental task force on irregular migration met Wednesday evening to discuss the ongoing issue of illegal border crossers and how to address pressures facing Quebec, where the vast majority of irregular migrants are arriving.
62	9	Italian coast guards rescue migrants as vessel capsizes in the Mediterranean Sea: 63 migrants were rescued from the Mediterranean Sea by the Italian coast guard on Monday. Around 1000 migrants have been rescued in the Meditteranean in the last few days as calm weather conditions made it easier for vessels to depart. According to the United Nations High Commissioner for Refugees, 8296 migrants have arrived in Italy by sea in 2018.
165	2	As India marks 70 years of partition, memories fresh of border bloodshed: By Sunil Kataria AMRITSAR, India (Reuters) - India's independence from British colonial rule coincided with the partition of the subcontinent into two separate countries, setting off unprecedented communal carnage on both sides of the hastily created border. A mass migration followed, marred by violence and bloodshed, as about 15 million Muslims, Hindus and Sikhs, fearing discrimination, swapped countries in an upheaval that cost more than a million lives. During the chaotic transition, train cars full of bodies arrived at railway stations in the twin cities of Lahore and Amritsar in the province of Punjab, which was split roughly down the middle at partition on Aug. 14, 1947. As India prepares to mark 70 years of independence on Aug. 15, families who witnessed the death and destruction during partition recalled the tales of horror. Brothers Santa and Niranjan Singh were lucky to survive the crossing from their village of Bhasin on the Pakistani side of the new border to their current home in Sarangra in India. Santa, then aged 15 or 16, says everyone was baying for blood. People were running around with knives, swords and guns. Up to a dozen people from their village were killed in the madness, Santa recalls, saying they carried an injured brother across the border after he was shot through the head.
200	10	Afghan refugees coming to California struggle with PTSD: SACRAMENTO – California’s capital has emerged as a leading destination for Afghan refugees who were awarded special visas because of their service to coalition forces in the war. But life in the United States for them has proven a constant struggle. These former translators, engineers and doctors awarded Special Immigrant Visas must start over in bug-infested, low-rent apartments with minimum-wage jobs while dealing with PTSD and other health problems, the Sacramento Bee reported. More than 2,000 such visa holders and their family members have settled in Sacramento since October 2010, and many of them say they are struggling with anxiety and depression that have developed or been greatly exacerbated by their struggles in the United States. They say they feel helpless and abandoned, lacking decent jobs, housing or an understanding of U.S. culture. One of them is Faisal Razmal, a former interpreter for U.S. soldiers battling the Taliban in Afghanistan who was shot in the face in front of his Sacramento apartment in August 2015 by an assailant wielding a flare gun. A neighborhood teenager and alleged member of a gang has been charged and is awaiting trial. Razmal, 28, who lost the sight in one eye after the attack, said he feels like he also lost a piece of his soul.
368	9	Drug catapult found attached to Mexican side of US border fence: Following up on a tip by the U. S. Border Patrol, Mexican authorities in the border town of Agua Prieta seized a catapult being used to throw bundles of marijuana and possibly other drugs over the border to Douglas, Arizona. ‘THEY COME EVERY DAY’: BORDER TOWN RESIDENTS FACE DAILY THREAT FROM TRAFFICKING Expand / Contract The catapult was fixed to the top of the fence. (U. S. Customs and Border Protection) Agents patrolling the Douglas area last week said they sensed suspicious activity when a group of men started to run away as they were approaching. When the agents got to the south side of the border fence they discovered the catapult system attached to it. Two bundles of marijuana weighing more than 47 pounds combined were found nearby. AT BORDER PATROL, TRUMP LIFTS MORALE THAT WAS AT AN ALL-TIME LOW There was no report of arrests associated with the Feb. 10 incident. In recent years, smugglers have been known to shoot bundles of drugs over the border with devices such as air-powered cannons and catapults. Back in September, Mexican authorities seized a modified van that was apparently used for this purpose – it had an air compressor, a gas engine, a storage tank and an approximately 3-meter metal tube described as a “homemade bazooka.
135	9	Syrian rebels, civilians leave Lebanon border area for home: BEIRUT — The media arm of Lebanon's militant Hezbollah group says hundreds of Syrian rebels and civilians have started leaving the Lebanon-Syria border area after a deal was reached for their departure. The Central Military Media says buses carrying members of the Levant People's Brigades rebel group started moving on Monday from the badlands of the Lebanese border town of Arsal in the direction of the Syrian village of Fleeta. The evacuation comes nearly two weeks after more than 7,000 Syrians, many of them al-Qaida-linked fighters and their families, left Arsal, following an offensive by Hezbollah.
267	9	Abe: Japan planning for refugees in event of Korean crisis: Japanese Prime Minister Shinzo Abe speaks during an Audit and Oversight of Administration Committee session at the lower house of Parliament in Tokyo Monday, April 17, 2017. Abe said Monday that Japan's government is drawing up contingency plans in case a crisis on the Korean Peninsula sends an influx of refugees to Japan. Abe told a parliamentary session that the government is formulating measures including protecting foreigners, landing procedures, building and operating shelters, and screening asylum seekers. (Yoshinobu Shimizu/Kyodo News via AP) TOKYO (AP) — Prime Minister Shinzo Abe said Monday that Japan's government is drawing up contingency plans in case a crisis on the Korean Peninsula sends an influx of refugees to Japan. Abe told a parliamentary session that the government is formulating measures including protecting foreigners, landing procedures, building and operating shelters, and screening asylum seekers. Abe's disclosure came in response to a question that had been occasionally asked in the past but is now more realistic than ever with North Korea's missile capability rapidly advancing and tension with the U. S. rising. The government has been also working on evacuation plans for about 60,000 Japanese from South Korea in case of a crisis.
358	7	American border patrol agents stopping and boarding Canadian vessels: spokesman: Michael MacDonald, The Canadian Press GRAND MANAN, N. B. -- A little-known cross-border dispute that has simmered between Canada and the United States since the late 1700s is now approaching the boiling point. In the past two weeks, at least 10 Canadian fishing boats from New Brunswick have been intercepted by U. S. Border Patrol agents while fishing in the disputed waters around Machias Seal Island, a spokesman for the fishermen says. Laurence Cook, chairman of the advisory board for Lobster Fishing Area 38, said Wednesday that some Canadian vessels were boarded by American agents who asked about possible illegal immigrants. "There's been a bit of a misunderstanding there somewhere," Cook said in an interview. "They're in international waters, so border patrol shouldn't be boarding Canadian vessels. " Machias Seal Island, which is about 19 kilometres southwest of Grand Manan Island and east of Maine, is in a disputed area known as the Grey Zone, where lobster fishermen from both Canada and the United States have long fished side by side. The small island is a flat, treeless piece of rock, which includes a large colony of puffins and a lighthouse that is manned by two Canadian lightkeepers year-round.
59	5	Still A Trickle, But Refugees Sick Of Exile Return To Syria: (AP) – A small but growing number of refugees have come back to Syria from among the more than 5. 4 million who fled since the civil war erupted in 2011. So far, they number in the tens of thousands, including some who made the arduous journey to Europe. The United Nations says the country is still not safe and even in parts where fighting has stopped, cities have suffered massive destruction. In early 2016, Ammar Maarawi bolted, desperate to escape Syria’s terrors. He paid smugglers and endured a dangerous sea crossing to Greece and an exhausting journey by train, bus and foot through Europe. Now, the 36-year-old is back home in Aleppo. He returned last summer. Depressed, homesick and dreading another winter, he couldn’t bear life in the German city of Suhl.
214	3	The migrant surge on the border isn't a crisis, it's just a fiasco: Everybody stay calm, everything’s under control. As Canadian Forces teams were busy building a tent village last week to accommodate a surge of mostly Haitian asylum claimants crossing the border from upstate New York into Quebec near Saint-Bernard-de-Lacolle, that’s what we were still being told by Prime Minister Justin Trudeau, Immigration Minister Ahmed Hussen and Quebec Premier Premier Philippe Couillard. Relax. We can handle it. Of course we can handle it. Even if each of the 60,000 Haitians in the United States who are currently counting down the days to their deportation orders decides to head north and walk across the porous Canadian border into Quebec, we would be able to handle it. Canada’s shambolic immigration and refugee system, with all its false boasts of orderly righteousness and its make-believe coherence, will continue to trundle along in its mostly unintelligible, sometimes brazenly corrupt and ordinarily nonsensical fashion. So yes, stay calm. The Quebec asylum-seeker surge is not yet even close to a crisis. It’s just a fiasco. It’s business as usual. And everything is definitely not under control. The northbound Haitians are not mysteriously unaware that two years ago, Canada ended the same temporary status that the United States offered Haitians following their country’s devastating 2010 earthquake—a status the Trump administration is now determined to replace with deportation orders by January.
488	5	“We Will Fight Back”: Aid Workers Fear Closing a Camp on the Arizona Border Will Endanger Migrants Pastor Randy Mayer skillfully maneuvers his SUV over rough dirt roads, dodging giant potholes and jostling up steep inclines in the predawn darkness. The rugged terrain in this remote stretch of the Arizona-Mexico border is familiar territory. Mayer, co-founder of the Green Valley-Sahuarita Samaritans, a nonprofit that provides humanitarian aid to migrants, has traveled here for nearly 25 years.
77	8	World Bank Says Climate Change Could Create 140 Million Migrants by 2050: A new report by the World Bank shows that the effects of climate change could force 140 million people to move within their countries by 2050. The report looked at three developing regions of the world — sub-Saharan Africa, South Asia and Latin America — and found that unless urgent action is taken, the regions will likely have to deal with tens of millions of so-called climate migrants. Climate migrants are people who are forced to move within their country because of water scarcity, crop failure, rising sea levels and storm surges due to climate change. The report shows that with strong global efforts to cut greenhouse gas emissions and good development planning in each country, the number of climate migrants could be reduced dramatically — from a projected 140 million people to 40 million people by 2050. “We have a small window now, before the effects of climate change deepen, to prepare the ground for this new reality,” World Bank chief executive officer Kristalina Georgieva said about the new research. She said it is “important to help people make good decisions about whether to stay where they are or move to new locations where they are less vulnerable.
326	7	To Immigrants With Love' Murals Celebrate Immigrants in Boston: Painted on the brick exterior of Atlas Wines and Liquors in Boston’s Roslindale neighborhood is a colorful mural depicting Louis and Beatrice White, the store’s original owners. Russian immigrants who came to the United States in the early 1900s, the Whites’ smiling faces are surrounded by flowers and cursive text written in Spanish, Italian, and Yiddish. The mural reads,“You will always be welcome in the city of Boston. ” Commissioned as part of the “To Immigrants With Love” mural project, a collaboration with the national letter-writing campaign of the same name, the mural celebrates immigrants from both the past and present, and reflects Boston’s unwavering support of its immigrant communities. “It’s a pretty scary time for a lot of people right now,” said Katherine Copeland, the public art coordinator for the Mayor’s Office for Immigrant Advancement, which helped develop the campaign. “We wanted to inform the community and really humanize the immigration conversation. ” After seeing Stephen Powers’ “Love Letters to Philadelphia” mural project, Copeland realized that the best way to do this was through public art. “That’s what sparked the idea, I realized we could take the concept of ‘To Immigrants With Love’ one step further, for Boston,” Copeland said.
315	10	Denver Fund Will Pay for Lawyers to Defend Immigrants Facing Removal: On Monday, March 19, Denver launched a long-anticipated legal defense fund for immigrants with $385,000 in its coffers. The aim of the fund is to provide legal representation to Denver residents who are fighting removal orders or who have requested relief through avenues like Deferred Action for Childhood Arrivals, asylum applications, naturalization or certain visas. Mayor Michael Hancock formalized the fund through an executive order issued August 31, 2017, and originally appropriated $100,000 from the city budget. That fund was bumped up to $200,000 through a Denver City Council vote in November. More dollars have since been added through public and private sources including the Denver Foundation, the Rose Community Foundation and the Vera Institute of Justice. (The Vera Institute, which has helped with similar funds, including in New York, will provide Denver technical assistance and support. ) Using public dollars to provide legal representation to individuals in immigration cases is not unique to Denver. A handful of other cities, including San Francisco, Los Angeles and New York, already have such programs. A Vera Institute study found that after New York City provided universal legal representation, ten times as many immigrants there won their cases, which included deportation proceedings.
41	10	Trump wants 256 miles of border wall in Texas: President Donald Trump's administration plans to build 256 miles of new barriers on the Texas-Mexico border, according to a Democratic congressman who said he was briefed on the plan. U. S. Rep. Henry Cuellar, who represents a district that abuts the border in south Texas, said the $25 billion that Trump is seeking as part of a deal on a pathway for citizenship for "dreamers" — the undocumented immigrants brought to the U. S. as children — would fund construction of the new fencing and barriers. Cuellar said Department of Homeland Security officials presented the plan during a briefing to the House Appropriations subcommittee on homeland security, of which Cuellar is a member. The administration seeks $1. 6 billion in this year's budget for 60 miles of new fencing in Texas' Rio Grande Valley. The area has become the busiest route for illegal crossings. In the following years, DHS would seek to fund 66 additional miles of barriers in the area, Cuellar said, citing the briefing. DHS would also build 130 miles of barriers in the Laredo sector, effectively walling off all of south Texas. "A lot of this is going to be delayed for many, many years," Cuellar said, implying a showdown between the federal government and border landowners and property-rights activists.
73	7	NGO denounces migrant minors sleeping in Paris streets, blames authorities: A migrant sits by the canal as he awaits the evacuation of a large makeshift camp along the Canal Saint Denis, in northern Paris, France, May 30, 2018. EPA-EFE (FILE)/IAN LANGSDON A doll was left behind on a parapet overlooking the tents of the makeshift camp in the 19th district of Paris in Paris, France, Oct 31, 2016. EFE- EPA (FILE) /ETIENNE LAURENT A Non-Government-Organization (NGO) on Wednesday denounced hundreds of unaccompanied migrant minors were sleeping rough in the streets of the French capital and blamed authorities for denying social assistance, contrary to French regulations. Human Rights Watch (HRW) NGO presented a 57-page report titled: "Like a Lottery: Arbitrary Treatment of Unaccompanied Migrant Children in Paris” where it criticizes French authorities "arbitrary" procedures and "inordinate delays" in determining if these child migrants are under the age of 18, regardless of having identity papers or not.
320	1	I'm the great-great-great-great-grandchild of immigrants - but not everyone in my family wants to hear that history: One evening in mid March, I was part of a full-house audience at the local city council meeting in Eugene, Oregon. On the agenda was an ordinance to prevent the city and police from using its resources to arrest and detain people whose only offense is violating federal immigration laws. I can see how this kind of rule would make the job of law enforcement easier if entire sectors of the community were not afraid to speak to cops. Thirty-five people gave testimony, many of whom identified themselves as immigrants or the children or grandchildren of immigrants. I did not offer my own testimony, but I thought about my most recent ancestor to arrive from another country. His name was Johann. A German farmer and blacksmith, he built a house 11 miles from the house where I grew up in Alabama, and there he legally owned a few slaves. By the 1820s, my great-great-great-great-grandfather Johann and all other branches of my family tree were already in the southeastern United States. By the definitions in OMB Directive 15 — the federal standards for collecting data on race — I am white and non-Hispanic.
408	3	Pedophile Illegal Immigrant's Corpse Dumped Outside British Parliament: The corpse found slumped against the entrance to the Houses of Parliament in London, UK, has been identified as belonging to a notorious pedophile who had been deported from the country but had re-entered illegally and was receiving government assistance to integrate into society. Marcos Amaral Gourgel, 35, a former male model with dual Portuguese and Angolan citizenship, was convicted of sexually abusing a child in 2014. After a police investigation in which Gourgel was found in possession of child pornography, he was arrested on two counts related to child pornography and one count of child molestation. He was jailed and then deported from the UK. After returning to Portugal, Gourgel was allowed to walk free under the European Union’s lax pedophilia laws after a judge declared the former model was “not a threat to the local community. ” Investigators believe the convicted pedophile then took advantage of Europe’s open borders by illegally re-entering the UK and resuming life as though nothing had happened. The ministry of Portuguese communities abroad confirmed: “In 2014 he was deported to Portugal by the British authorities and assisted on his return. In 2016 we were made aware he had been deported again .
238	6	Hungary's police say its "border-hunters” squad is overrun with unsavory applicants: Hungary has fallen out of favor with human rights groups for responding to the refugee crisis with a razor-wire fence on its border with Serbia and later with Croatia to keep migrants out. But for all its efforts at enforcing draconian policies on asylum seekers, it’s struggling to find suitable candidates to patrol its border fence. The government announced plans to hire police units of “border hunters” (paywall) in August 2015, setting a target of 3,000 last year. These border guards would patrol the border alongside 10,000 police and soldiers. The new recruits will carry pistols, pepper spray, batons, and handcuffs. Despite a massive recruitment drive, Hungarian police told BBC News that “the name is part of the problem, as it attracts the wrong kind of applicant.” This isn’t due to a lack of interest, but because many of the applicants are unable to pass tests put in to weed out unsavory characters. In a country where xenophobia is running high under a conservative government, the police have, for instance, disabled comments on YouTube recruitment videos. Police officers told the BBC that only 1,000 of the 2,700 people who applied from August 2016 to January this year were accepted.
